,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__NA;g__NA;s__NA,45325,45157,45459,1265,1211,1218,26157,26076,26099,1027,1046,1082,326172,325875,327573,70684,70445,70894,191511,191473,190819,20707,20795,20684,74996,74911,75233,50791,50557,51121,23692,23568,23683,14761,14750,14501,143522,143357,144091,254,227,255,208341,208809,208344,479,467,471,4,2,2,26101,26093,26238,84724,84946,84162,13638,13530,13633
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__NA,200,179,207,3795,3827,3814,239,197,237,541,540,575,421,409,444,8800,8708,8886,5307,5259,5435,43973,44349,44011,14433,14423,14641,104181,104561,103897,55437,55323,55510,23149,23173,23180,48853,48569,48479,205,191,201,361984,361373,361920,205,187,188,8,9,10,65364,65164,65640,64710,65145,65180,435824,436279,436265
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__NA,0,0,0,771,790,808,0,0,0,238,249,240,0,0,0,161487,161674,161613,0,0,0,64073,63912,64140,0,0,0,51441,51159,51236,388,423,386,598,618,597,1007,1018,995,54,50,65,69192,69067,68781,133,123,123,4,5,4,48175,48360,47911,12056,12005,11956,208055,207612,207659
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__NA,7315,7366,7265,411,412,444,554,567,569,0,0,0,0,0,0,0,0,0,8924,9035,8828,32597,32874,32528,8018,7939,7941,104941,105023,104983,53480,53310,52879,3002,3067,2972,56718,56742,56825,138,154,123,43653,43573,44073,18,18,23,2,1,4,9140,9117,9103,15133,15039,15194,168557,168302,168134
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__NA;s__NA,3133,3164,3131,288,311,289,862,868,888,34,31,33,94768,94817,94761,152,158,141,36127,36145,36024,308,308,296,63459,63808,63424,3046,3037,2962,9973,9876,10023,2873,2895,2831,15770,15862,15646,2,1,1,20558,20715,20502,3,3,5,1,0,2,500,491,486,186932,186743,186779,1252,1261,1236
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__Thiobacillus;s__NA,0,0,0,0,0,0,0,0,0,22,17,18,309991,310370,309377,4117,4112,4021,10968,10911,10766,1688,1689,1702,40299,40052,40194,0,0,0,1460,1462,1477,286,287,289,399,395,362,11,10,8,17961,18021,18088,8,4,9,0,0,0,1859,1875,1856,27568,27780,27645,171,157,179
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__NA;g__NA;s__NA,17822,17873,17981,515,536,493,5058,4942,5113,236,246,242,21165,21426,20998,290,266,302,32159,32067,32236,513,505,503,14079,14085,14219,661,670,689,55118,54946,55186,7748,7917,7715,36519,36562,36316,66,56,77,137024,136832,137304,2,3,1,2,0,2,901,913,838,85611,85812,85792,350,359,374
k__Bacteria;p__Chloroflexota;c__KD4-96;o__NA;f__NA;g__NA;s__NA,3393,3496,3305,769,825,769,0,0,0,242,246,261,13409,13321,13571,62,56,35,31389,31399,31502,133,121,125,31656,31437,31565,1802,1743,1737,50800,50791,51085,6744,6736,6760,51076,51469,50934,124,118,123,82318,82315,82270,0,0,0,1,3,0,736,717,746,117600,117537,117474,790,817,784
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__NA,15456,15552,15531,912,905,905,6244,6108,6261,181,179,196,0,0,0,621,575,625,20461,20332,20573,348,346,361,10602,10760,10685,365,343,406,41400,41458,41302,5816,5991,5746,45728,45945,45416,91,90,88,223251,223602,223637,0,0,0,0,0,0,1055,1073,1072,12457,12502,12650,203,203,175
k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__NA;s__NA,32253,32124,32235,666,699,654,5872,5931,5676,111,103,123,19604,19576,19601,186,204,176,36322,36476,36780,312,341,297,10414,10537,10503,1037,1033,1042,56654,56448,56781,10425,10280,10462,52944,53333,52607,87,70,78,105674,105916,105938,2,1,0,2,0,4,842,830,844,20582,20772,20665,124,122,128
